"@timestamp","movie_title","tomatometer_status","audience_rating","tomatometer_rating",cast
"1982-08-12T16:00:00.000Z","Fast Times At Ridgemont High","Certified Fresh",80,78,"Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus, Brian Backer, Phoebe Cates, Ray Walston, Scott Thomson, Vincent Schiavelli, Amanda Wyss, D.W. Brown, Forest Whitaker, Kelli Maroney, Tom Nolan, Blair Ashleigh, Eric Stoltz, Stanley Davis Jr., James Russo, James Bershad, Nicolas Cage, Reginald H. Farmer, Anthony Edwards, Pamela Springsteen, Stuart Cornfield, Stuart Cornfeld, Sonny Carl Davis, Michael Wyle, David F. Price, Patrick Brennan, Julie Guilmette, Shelly O'Neill, Stu Nahan, Duane Tucker, Martin Brest, Douglas Brian Martin, Steven M. Martin, Taylor Negron, Kenny Lawrence, John Hollander, Ricky Redlich, Nancy Wilson, Virginia Peters, Laurie Hendricks, Lois Brandt, Ellen Fenwick, Cherie Effron, Suzanne Marie Fava, Lana Clarkson, Roy Holmer Wallack, Ava Lazar, Lori Sutton"
"1983-10-06T16:00:00.000Z","Rumble Fish",Fresh,80,70,"Matt Dillon, Mickey Rourke, Diane Lane, Dennis Hopper, Diana Scarwid, Vincent Spano, Nicolas Cage, Christopher Penn, Laurence Fishburne, William Smith, Michael Higgins, Sofia Coppola, Glenn Withrow, Dominot, Tom Waits, Herb Rice, Maybelle Wallace, Nona Manning, S.E. Hinton, Emmett Brown, Tracey Walter, Lance William Guecia, Bob Maras, J.T. Turner, Keeva Clayton, Chris Penn, Kirsten Hayden, Karen Parker, Sussannah Darcy, Kristi Somers"
"1984-03-22T16:00:00.000Z","Racing With the Moon",Fresh,62,60,"Sean Penn, Nicolas Cage, Elizabeth McGovern, John Karlen, Rutanya Alda, Max Showalter, Suzanne Adkinson, Crispin Glover, Barbara Howard, Bob Maroff, Dominic Nardini, Steve Lambert, John Brandon, Walter Matthews, Eve Brent Ashe, Arlin Miller, Shawn Schepps, Charles Miller, Patricia Allison, Jan Rabson, Al Hopson, Ted Grossman, Dominick Nardini, Scott McGinnis, Sue Allen, Brian Trumbull, Kate Williamson, Julie Philips, Fielding Greaves, Arnold Johnson, Kevin Fraser, Gerry Gibson, Shane Kerwin, Page Hannah, Jonathan Charles Fox, Michael Madsen, Dana Carvey, Victor Rendina, Rebecca Pollack, Victor Paul, Lou Butera, Michael Talbott, Phil Adams, Chuck Picerni Jr., Phillip Romano, Carol Kane"
"1984-12-20T16:00:00.000Z",Birdy,Fresh,84,85,"Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron, Karen Young, Bruno Kirby, Nancy Fish, Delores Sage, Dolores Sage, Robert L. Ryan, James Santini, Robert Ryan, Chris Taylor, Maude Winchester, Juliet Taylor, Marshall Bell, Elizabeth Whitcraft, George 'Buck' Flower, Sandra Beall, Maud Winchester, Victoria Nekko, Crystal Field, Joe Lerer, Alice Truscott, Ed Taylor, John Brumfield, Irving Selbst, Steve Lippe, William Clark, James Pruett, Priscilla Alden, Howard Kinsley, Robert LeRoy Diamond, Guy Jones, Bud Seese, Erskine Morgan, Maurice Frizzell Jr., Andy Mark Simpson, Michael Runyard, Richard Mason, Mic Rodgers, Charles Tamburro, Michael Shaner, Tim Davis, Harry Hauss"
"1986-12-31T16:00:00.000Z","Raising Arizona","Certified Fresh",85,91,"Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman, William Forsythe, T.J. Kuhn, Sam McMurray, Lynne Dumin Kitel, Frances McDormand, Lynne Dumin Kitei, Mary Francis Glenn, Peter Benedek, Randall ""Tex"" Cobb, Warren Keith, Charles ""Lew"" Smith, Sidney Dawson, Richard Blake, Troy Nabors, Mary Seibel, John O'Donnal, Keith Jandacek, Warren Forsythe, Ruben Young, Dennis Sullivan, Dick Alexander, Rusty Lee, James Yeater, Bill Andres, Richard Alexander, Carver Barnes, Margaret H. McCormack, Bill Rocz, Mary F. Glenn, Jeremy Babendure, Bill Dobbins, Ralph Norton, Henry Tank, Frank Outlaw, Todd Michael Rogers, M. Emmet Walsh, Robert Gray, Katie Thrasher, Derek Russell, Nicole Russell, Zachary Sanders, Noell Sanders, Cody Ranger, Jeremy Arendt, Ashley Hammon, Crystal Hiller, Olivia Hughes, William Preston Robertson, Emily Malin, Melanie Malin, Craig McLaughlin, Adam Savageau, Benjamin Savageau, David Schneider, Michael Stewart"
"1987-12-17T16:00:00.000Z",Moonstruck,"Certified Fresh",81,93,"Cher, Nicolas Cage, Olympia Dukakis, Fyodor Chaliapin, Nada Despotovich, Vincent Gardenia, Danny Aiello, Julie Bovasso, John Mahoney, Louis Guss, Feodor Chaliapin Jr., Anita Gillette, Nada Despotovich, Joe Grifasi, Robin Bartlett, Helen Hanft, David S. Howard, Robert Weil, Amy Aquino, Tony Azito, Frank Gio, Ann McDonough, John Christopher Jones, Lisa Howard, Cynthia Dale, Nicholas Pasco, Al Therrien, Louis Di Bianco, Tommy Hollis, Matt Myers, Mimi Cecchini, Catherine Scorsese"
"1987-12-31T16:00:00.000Z",Big,"Certified Fresh",82,97,"Tom Hanks, Jared Rushton, Elizabeth Perkins, Robert Loggia, David Moscow, John Heard, Mercedes Ruehl, Jon Lovitz, Josh Clark, Kimberlee M. Davis, Oliver Block, Jon Levita, Erica Katz, Allan Wasserman, Mark Ballou, Gary Howard Klar, Alec Von Sommer, Erika Katz, Chris Dowden, Rockets Redglare, Paul Herman, Nancy Giles, Jordan Thaler, Dana Kaminski, Harvey Miller, Tracy Reiner, James Eckhouse, Jamie Tirelli, Linda Gillen, Mildred R. Vandever, Debra Jo Rupp, Keith Reddin, Lela Ivey, Paul L.Q. Lee, Dolores Messina, Gordon Press, George J. Manos, Vinny Capone, Susan Wilder, John Rothman, Judd Trichter, Pasquale Pugliese, Vaughn Sandman, Bruce Jarchow, Samantha Larkin, Edward Schick, Bert Goldstein, Kevin Meaney, Peter McRobbie, Paul J.Q. Lee, Tom Coviello, Richard Devia, Teddy Holiavko, Augusto Mariani, Alfredo Monti, Sergio Mosetti, Armando Penso, F. Benjamin Stimler, Jonathan Isaac Landau"
"1989-02-16T16:00:00.000Z","The 'Burbs",Rotten,71,53,"Tom Hanks, Bruce Dern, Carrie Fisher, Rick Ducommun, Corey Feldman, Henry Gibson, Wendy Schaal, Theodore Gottlieb, Courtney Gains, Gale Gordon, Cory Danziger, Heather Haase, Nick Katt, Brenda Benner, Patrika Darbo, Dick Miller, Robert Picardo, Franklyn Ajaye, Bill Stevenson, Nicky Katt, Rance Howard, Dana Olsen, Kevin Gage, Gary Hays"
"1992-02-20T16:00:00.000Z","Radio Flyer",Rotten,72,33,"Elijah Wood, Joseph Mazzello, Adam Baldwin, Lorraine Bracco, John Heard, Ben Johnson, Sean Baca, Tom Hanks, Robert Munic, Garette Ratliff Henson, Mike Fenton, Noah Verduzco, Isaac Ocampo, Valorie Massalas, Kaylan Romero, Rhea Perlman, Abraham J. Verduzco, T.J. Evans, Judy Taylor, Victor DiMattia, Adam Hendershott, Daniel Bieber, Coleby Lombardo, Mike Simmrin, Elden Henson, Lennard Camarillo, Lois Foraker, William J. Bonnel, Henry LaPlante, Stephen Kahan, Steven A. Jones, Steven Anthony Jones, Scott Lloyd Nimerfro, Paul Tuerpé, Reye Reed, Susan Gale Linn, Dawan Scott, James Oliver, Michael Maiello, Hattie Schwartzberg, Joan Hyman, John Mazzello, Hannah Wood, James W. Gavin"
"1992-06-30T16:00:00.000Z","A League of Their Own","Certified Fresh",84,78,"Tom Hanks, Geena Davis, Lori Petty, Madonna, Rosie O'Donnell, Jon Lovitz, Megan Cavanagh, Tracy Reiner, David Strathairn, Garry Marshall, Bill Pullman, Bitty Schram, Ann Cusack, Freddie Simpson, Renée Coleman, Robin Knight, Anne Ramsay, Patti Pelton, Kelli Simpkins, Neezer Tarleton, Connie Pounds-Taylor, Kathleen Marshall, Sharon Szmidt, Pauline Brailsford, Ellen Lewis, Justin Scheller, Eddie Jones, Amanda Mackey, Alan Wilder, R.M. Haley, Don S. Davis, Janet Jones, Joey Slotnick, Brenda Ferrari, Téa Leoni, Laurel Cronin, Robert Stanton, Wantland L. Sandel Jr., Patricia J. Wilson, Joe Krowka, Harry Shearer, Ryan Howell, Brian Boru Gleeson, David Franks, Ryan Olsen, Ellie Weingardt, Larissa Collins, Douglas Blakeslee, Joseph Slotnick, Brian Flannery, Stephen Feagley, Rae Allen, Gregory Sporleder, Eddie Mekka, Stephen Mailer, Blaire Baron, Ray Chapman, Joette Hodgen, Lynn Cartwright, Kathleen Butler, Eunice Anderson, Vera Johnson, Patricia Wilson, Mark Holton, Barbara Erwin, Betty Miller, Eugenia McLin, Marvin Einhorn, Shirley Burkovich, Dolores ""Pickles"" Dries, Lisa Hand, Cheryl Jones, Shelly Niemeyer, Sally Rutherford, Lita Scmitt, Barbara Pilavin Gelber, Amanda Walker, Brenda Watson, Cherry Jones"
